"key","Russian","English","French","Japanese","Italian","Spanish","Arab","Vietnamese","Danish","Chinese_trad","Korean","Norwegian","Portuguese","Turkish","Finnish","Swedish","German","Bulgarian","Hungarian","Greek","Chinese_simpl","Dutch","Polish","Romanian","Thai","Ukrainian","Czech",
"AreYouSure","Вы уверены, что хотите начать новую игру? Весь прошлый прогресс будет стерт","Are you sure you want to start a new game? All past progress will be erased","Etes-Vous Sûr De Vouloir Commencer Un Nouveau Jeu? Tous Les Progrès Passés Seront Effacés","あなたは新しいゲームを開始してもよろしいですか？すべての過去の進展が消去されます","Sei Sicuro Di Voler Iniziare Una Nuova Partita? Tutti I Progressi Passato Viene Cancellato","¿Está Seguro De Que Desea Iniciar Un Nuevo Juego? Se Borrarán Todos Los Progresos Del Pasado","هل أنت متأكد أنك تريد أن تبدأ لعبة جديدة؟ سيتم مسح جميع التقدم الماضي","BạN Có ChắC ChắN MuốN BắT ĐầU MộT Trò Chơi MớI? TấT Cả Các TiếN Bộ Trong Quá Khứ Sẽ Bị Xóa","Er Du Sikker På Du Vil Starte Et Nyt Spil? Alle Tidligere Fremskridt Vil Blive Slettet","你确定要开始新游戏？过去所有的进展都将被删除","새 게임을 시작 하시겠습니까? 모든 과거의 진보는 삭제됩니다","Er Du Sikker På At Du Vil Starte Et Nytt Spill? Alle Siste Framgang Vil Bli Slettet","Tem Certeza De Que Deseja Iniciar Um Novo Jogo? Todo O Progresso Passado Será Apagado","Yeni Bir Oyuna Başlamak Istiyorum Emin Misin? Tüm Geçmiş Ilerleme Silinecek","Oletko Varma, Että Haluat Aloittaa Uuden Pelin? Kaikki Aikaisempaa Kehitystä Poistetaan","Är Du Säker På Att Du Vill Starta Ett Nytt Spel? Alla Tidigare Framsteg Kommer Att Raderas","Sind Sie Sicher, Dass Sie Ein Neues Spiel Starten? Alle Bisherigen Fortschritte Werden Gelöscht","Сигурни Ли Сте, Искате Да Започнете Нова Игра? Всичко Минало Напредък, Ще Бъдат Изтрити","Biztosan El Szeretné Indítani Egy Új Játék? Minden Korábbi Haladás Törlődik","Είστε Σίγουροι Ότι Θέλετε Να Ξεκινήσετε Ένα Νέο Παιχνίδι; Όλα Τα Τελευταία Πρόοδος Θα Διαγραφούν","你确定要开始新游戏？过去所有的进展都将被删除","Bent U Zeker Dat U Een Nieuw Spel Beginnen? Alle Geboekte Vooruitgang Worden Gewist","Czy Na Pewno Chcesz Rozpocząć Nową Grę? Wszystko Przeszłości Postępy Zostaną Usunięte","Sunteți Sigur Că Doriți Să Începeți Un Joc Nou? Toate Progresele Înregistrate În Trecut Vor Fi Șterse","คุณแน่ใจหรือไม่ว่าต้องการที่จะเริ่มต้นเกมใหม่หรือไม่? ความคืบหน้าที่ผ่านมาทั้งหมดจะถูกลบ","Ви Впевнені, Що Хочете Почати Нову Гру? Весь Минулий Прогрес Буде Стертий","Jste Si Jisti, Že Chcete Začít Novou Hru? Vše Kolem Pokrok Budou Vymazány",
"yes","Да","Yes","Oui","はい","Sì","Si","نعم","Đúng","Ja","是","예","Ja","Sim","Evet","Joo","Ja","Ja","Да","Igen","Ναί","是","Ja","Tak","Da","ใช่","Да","Ano",
"no","Нет","No","Non","番号","No","No","لا","Không","Ingen","没有","아니","Nei","Não","Hayır","Ei","Nej","Nein","Не","Nem","Όχι","没有","Nee","Nie","Nu","ไม่","Немає","Ne",
"do_you_wont_exit","Вы точно хотите выйти?","Are you sure you want to exit?","Voulez-Vous Vraiment Quitter?","あなたが終了してもよろしいですか？","Sei Sicuro Di Voler Uscire?","¿Seguro Que Quieres Salir?","أنت متأكد أنك تريد إنهاء؟","BạN Có ChắC ChắN BạN MuốN Thoát KhỏI?","Du Sikker På Du Vil Afslutte?","你确定要退出吗？","당신은 당신이 종료 하시겠습니까?","Du Sikker På At Du Vil Avslutte?","Tem Certeza De Que Deseja Sair?","Sen Çıkmak Istediğinizden Emin?","Haluatko Varmasti Lopettaa?","Är Du Säker På Att Du Vill Sluta?","Sie Sicher, Dass Sie Beenden Wollen?","Сигурни Ли Сте, Че Искате Да Излезете?","Biztos, Hogy Ki Akar Lépni?","Είστε Βέβαιοι Ότι Θέλετε Να Κλείσετε;","你确定要退出吗？","Weet Je Zeker Dat Je Wilt Stoppen?","Czy Na Pewno Chcesz Zakończyć?","Sunteți Sigur Că Doriți Să Renunțați?","คุณแน่ใจว่าต้องการที่จะเลิก?","Ви Точно Хочете Вийти?","Opravdu Chcete Skončit?",
"press_any_key","Нажми любую кнопку","Press any button","Appuyer Sur Un Bouton","いずれかのボタンを押します","Premere Un Tasto Qualsiasi","Presione Cualquier Botón","اضغط على أي زر","NhấN BấT Kỳ Phím","Tryk På En Vilkårlig Knap","按任意键","어떤 버튼을 누르십시오","Trykk På En Knapp","Pressione Qualquer Botão","Herhangi Bir Tuşa Basın","Paina Mitä Tahansa Näppäintä","Tryck På Valfri Knapp","Drücke Irgend Einen Knopf","Натиснете Произволен Бутон,","Nyomja Meg Bármelyik Gombot","Πατήστε Οποιοδήποτε Κουμπί","按任意键","Druk Op Een Knop","Naciśnij Dowolny Przycisk","Apăsați Orice Buton","กดปุ่มใด ๆ","Натисни Будь-Яку Кнопку","Stisknutím Libovolného Tlačítka",
"loading","ЗАГРУЗКА","Loading","Chargement","Loading","Caricamento In Corso","Cargando","جار التحميل","Đang TảI","Indlæser","Loading","Loading","Laster","Carregando","Yükleni̇yor","Ladataan","Läser In","Wird Geladen","Зареждане","Betöltés","Φορτωση","Loading","Bezig Met Laden","Ładowanie","Se Încarcă","Loading","Завантаження","Načítání",
"bay","Купить","Buy","Acheter","購入","Acquistare","Comprar","يشترى","Mua","Købe","购买","구입","Kjøpe","Comprar","Satın","Ostaa","Köpa","Kaufen","Купува","Megvesz","Αγορά","购买","Kopen","Kup","Cumpără","ซื้อ","Купити","Koupit",
"work","Дать работу","Give a job","Publier Une Offre","仕事を投稿","Posta Un Lavoro","Anunciar Un Trabajo","انشر وظيفة","Đăng TuyểN","Indsend Et Job","发布工作","작업을 게시","Legg Inn En Jobb","Anunciar Um Trabalho","İşe Başvur","Lähetä Työpaikka","Posta Ett Jobb","Einen Job","Обява За Работа","Álláshirdetés","Δημοσιεύστε Μια Θέση Εργασίας","发布工作","Plaats Een Job","Wystaw Zlecenie","Posteaza Un Loc De Munca","โพสต์งาน","Дати Роботу","Zadat Zakázku",
"find","Найти","Find","Trouver","見つけるには","Trovare","Encontrar","لايجاد","Để Tìm","At Finde","为了找到","찾다","Å Finne","Encontrar","Bulmak","Löytää","Att Hitta","Finden","Да Намеря","Megtalálni","Να Βρω","为了找到","Vinden","Znaleźć","A Găsi","การค้นหา","Знайти","Najít",
"lvl","Уровень","Level","Niveau","レベル","Livello","Nivel","مستوى","CấP Độ","Niveau","水平","수평","Nivå","Nível","Seviye","Taso","Nivå","Niveau","Ниво","Szint","Επίπεδο","水平","Niveau","Poziom","Nivel","ชั้น","Рівень","Úroveň",
"not_done","Не выполнено","Not done","Pas Fini","まだ完成してない","Non Fatto","No Realizado","لم تفعل","Không ĐượC ThựC HiệN","Ikke Færdig","未完成","하지","Ikke Ferdig","Não Realizado","Bitmiş Değil","Ei Valmis","Ej Gjort","Nicht Durchgeführt","Не Е Готов","Nincs Kész","Δεν Ολοκληρώθηκε - Δεν Έγινε","未完成","Niet Klaar","Nie Skończone","Nu A Fost Făcut","ยังไม่เสร็จ","Не Виконано","Neudělané",
"done","Выполнено","Done","Terminé","完了","Fatto","Hecho","منجز","Làm Xong","Færdig","完成","끝난","Ferdig","Feito","Bitti","Tehty","Gjort","Erledigt","Свършен","Kész","Εγινε","完成","Gedaan","Gotowe","Terminat","เสร็จสิ้น","Виконано","Hotovo",
"Are_you_sure_you_want_delete_this_car","Вы точно хотите удалить эту машину безвозратно?","Are you sure you want to permanently delete this car?","Etes-Vous Sûr De Vouloir Supprimer Cette Voiture Bezvozratno?","あなたはこの車のBezvozratnoを削除してもよろしいですか？","Sei Sicuro Di Voler Rimuovere Questa Vettura Bezvozratno?","¿Seguro Que Desea Eliminar Este Coche Bezvozratno?","هل أنت متأكد أنك تريد إزالة هذه السيارة Bezvozratno؟","BạN Có ChắC BạN MuốN LoạI Bỏ ChiếC Xe Này Bezvozratno?","Er Du Sikker På Du Vil Fjerne Denne Bil Bezvozratno?","你确定要删除这辆车Bezvozratno？","당신은 당신이 Bezvozratno이 차를 삭제 하시겠습니까?","Er Du Sikker På At Du Vil Fjerne Denne Bilen Bezvozratno?","Tem Certeza De Que Deseja Remover Este Carro Bezvozratno?","Eğer Bezvozratno Bu Arabayı Kaldırmak Istediğinizden Emin Misiniz?","Oletko Varma, Että Haluat Poistaa Tämän Auton Bezvozratno?","Är Du Säker På Att Du Vill Ta Bort Den Här Bilen Bezvozratno?","Sind Sie Sicher, Dass Sie Bezvozratno Dieses Auto Entfernen?","Сигурни Ли Сте, Че Искате Да Премахнете Тази Кола Bezvozratno?","Biztosan El Akarja Távolítani Ezt Az Autót Bezvozratno?","Είστε Βέβαιοι Ότι Θέλετε Να Καταργήσετε Αυτό Το Αυτοκίνητο Bezvozratno;","你确定要删除这辆车Bezvozratno？","Bent U Zeker Dat U Deze Auto Te Verwijderen Bezvozratno?","Czy Na Pewno Chcesz Usunąć Ten Samochód Bezvozratno?","Sunteți Sigur Că Doriți Să Eliminați Această Mașină Bezvozratno?","คุณแน่ใจหรือว่าต้องการลบรถคันนี้ Bezvozratno?","Ви Точно Хочете Видалити Цю Машину Безвозратно?","Jste Si Jisti, Že Chcete Odstranit Tento Vůz Bezvozratno?",
"are_you_sure_cancel_quest","Вы точно хотите отменить квест? Отношения с нанимателем и поставщиком ухудшатся","Are you sure you want to cancel the quest? The relationship with the employer and supplier will get worse.","Etes-Vous Sûr De Vouloir Annuler La Quête? La Relation Avec L'Employeur Et Le Fournisseur Se Détériorer","あなたはクエストをキャンセルしてもよろしいですか？雇用者と供給者との関係が悪化します","Sei Sicuro Di Voler Annullare La Ricerca? Il Rapporto Con Il Datore Di Lavoro E Il Fornitore Deteriorarsi","¿Está Seguro De Que Desea Cancelar La Búsqueda? La Relación Con El Empleador Y Proveedor Deterioran","هل أنت متأكد أنك تريد إلغاء السعي؟ العلاقة مع صاحب العمل والمورد يتدهور","BạN Có ChắC ChắN MuốN HủY Thành NhiệM Vụ? MốI Quan Hệ VớI Các Nhà TuyểN DụNg Và Nhà Cung CấP XấU Đi","Er Du Sikker På, Du Vil Annullere Søgen? Forholdet Til Arbejdsgiveren Og Leverandør Forværres","你确定要取消的追求？与用人单位和供应商恶化的关系","당신은 퀘스트를 취소 하시겠습니까? 고용주 및 공급 업체 저하와의 관계","Er Du Sikker På At Du Vil Avbryte Jakten? Forholdet Til Arbeidsgiver Og Leverandør Svekkes","Tem Certeza De Que Deseja Cancelar A Busca? A Relação Com O Empregador E Fornecedor Deteriorar","Eğer Arayışı Iptal Etmek Istediğinizden Emin Misiniz? Işveren Ve Tedarikçi Kötüleşmesine Ile Ilişkisi","Oletko Varma, Että Haluat Peruuttaa Quest? Suhde Työnantajan Ja Toimittaja Heikkenevät","Är Du Säker På Att Du Vill Avbryta Sökandet? Relationen Med Arbetsgivaren Och Leverantör Försämras","Sind Sie Sicher, Dass Sie Den Auftrag Stornieren? Die Beziehung Mit Dem Arbeitgeber Und Anbieter Verschlechtern","Сигурни Ли Сте, Искате Да Прекратите Търсенето? Връзката С Работодателя, Така И Доставчикът Се Влоши","Biztosan Törölni Szeretné A Küldetés? A Kapcsolat A Munkáltató És A Szállító Romlik","Είστε Σίγουροι Ότι Θέλετε Να Ακυρώσετε Την Αναζήτηση; Η Σχέση Με Τον Εργοδότη Και Τον Προμηθευτή Επιδεινωθεί","你确定要取消的追求？与用人单位和供应商恶化的关系","Bent U Zeker Dat U De Zoektocht Annuleren? De Relatie Met De Werkgever Leverancier Verslechteren","Czy Na Pewno Chcesz Anulować Zadanie? Relacja Z Pracodawcą I Dostawcą Pogorszeniu","Sunteți Sigur Că Doriți Să Anulați Căutarea? Relația Cu Angajatorul Și Furnizorul Se Deteriorează","คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการแสวงหา? ความสัมพันธ์กับนายจ้างและผู้จัดจำหน่ายเสื่อมสภาพ","Ви Точно Хочете Скасувати Квест? Відносини З Наймачем І Постачальником Погіршаться","Jste Si Jisti, Že Chcete Zrušit Úkol? Vztah Se Zaměstnavatelem A Dodavatelem Zhoršovat",
"accept","Принять","Accept","Accepter","受け入れるために","Accettare","Aceptar","قبول","ChấP NhậN","At Acceptere","接受","동의합니다","Å Akseptere","Aceitar","Kabul Etmek","Hyväksyä","Att Acceptera","Akzeptieren","Да Приеме","Elfogadni","Να Αποδεχθεί","接受","Accepteren","Akceptować","A Accepta","ที่จะยอมรับ","Прийняти","Přijmout",
"create_car","Создать тачку","Create a car","Créer Une Brouette","手押し車を作成します。","Creare Una Carriola","Crear Una Carretilla","إنشاء عربة","TạO MộT Xe Cút Kít","Opret En Trillebør","创建一个独轮车","수레 만들기","Lag En Trillebår","Criar Um Carrinho De Mão","Bir El Arabası Oluştur","Luo Kottikärryt","Skapa En Skottkärra","Erstellen Sie Eine Schubkarre","Създаване На Ръчна Количка","Hozzon Létre Egy Talicska","Δημιουργήστε Ένα Καροτσάκι","创建一个独轮车","Maak Een Kruiwagen","Tworzenie Taczki","Creați O Roabă","สร้างรถสาลี่","Створити Тачку","Vytvoření Trakař",
"ok","ОК","OK","D'Accord","Ok","Ok","Okay","حسنا","ĐồNg Ý","Okay","好","확인","Ok","Está Bem","Tamam","Kunnossa","Ok","Ok","Добре","Rendben","Εντάξει","好","Ok","Ok","O.K","ตกลง","Ок","Ok",
"one_of_the_characters_left_convoy","Один из персонажей покинул конвой (настрой людей понизился)","One of the characters left the convoy (the mood of the people dropped)","L'Un Des Personnages Ont Quitté Le Convoi (L'Humeur Des Gens A Chuté)","文字の一つは、船団を左（人々の気分はドロップ）","Uno Dei Personaggi Lasciato Il Convoglio (Lo Stato D'Animo Delle Persone È Sceso)","Uno De Los Caracteres Restantes Del Convoy (El Humor De La Gente Ha Caído)","ترك واحدة من الشخصيات القافلة (مزاج الناس انخفض)","MộT Trong NhữNg Nhân VậT RờI KhỏI Đoàn Tàu VậN TảI (Tâm TrạNg CủA NgườI Dân GiảM)","Et Af De Tegn Tilbage Konvojen (Stemningen I Mennesker Droppet)","人物之一离开了车队（的人的心情下降）","문자 중 하나는 호송을 왼쪽 (사람들의 기분은 삭제)","En Av De Tegn Igjen Konvoien (Humøret Til Folk Droppet)","Um Dos Personagens Deixou O Comboio (O Humor Das Pessoas Caiu)","Karakterlerden Biri Konvoyu Sol (Insanların Ruh Düştü)","Yksi Merkkiä Jäljellä Saattuetta (Mieliala Ihmisiä Pois)","En Av De Tecken Kvar Konvojen (Stämningen Människor Föll)","Einer Der Charaktere Den Konvoi Verlassen (Die Stimmung Der Menschen Fallen Gelassen)","Един От Героите Напусна Конвоя (Настроението На Хората Спадна)","Az Egyik Karakter Maradt A Konvoj (A Hangulat Az Emberek Csökkent)","Ένας Από Τους Χαρακτήρες Που Άφησε Το Κονβόι (Η Διάθεση Των Ανθρώπων Που Έπεσαν)","人物之一离开了车队（的人的心情下降）","Een Van De Tekens Over Het Konvooi (De Stemming Van Mensen Laten Vallen)","Jeden Z Bohaterów Opuścił Konwój (Nastrój Ludzi Spadła)","Unul Dintre Personajele Din Stânga Convoiul (Starea De Spirit A Oamenilor A Scăzut)","หนึ่งในตัวละครที่เหลือขบวน (อารมณ์ของผู้คนลดลง)","Один З Персонажів Покинув Конвой (Настрій Людей Знизився)","Jedním Ze Znaků Konvoje (Nálada Lidí Klesl)",
"create_character","Создать Чела","Create a character","Créer Chela","チェラを作成","Creare Chela","Crear Chela","إنشاء شيلا","TạO Chela","Opret Chela","创建切拉","첼라 만들기","Lag Chela","Criar Chela","Chela Oluştur","Luo Chela","Skapa Chela","Erstellen Chela","Създаване Чела","Készítsen Chela","Δημιουργία Τσέλα","创建切拉","Maak Chela","Tworzenie Chela","Creați Chela","สร้างสาวก","Створити Чела","Vytvořit Chela",
